Metabolite	Control_0_h_batch_10	Control_0_h_batch_11	Control_0_h_batch_9	Control_2_h_batch_10	Control_2_h_batch_11	Control_2_h_batch_9	Control_6_h_batch_10	Control_6_h_batch_11	Control_6_h_batch_9	Control_12_h_batch_10	Control_12_h_batch_11	Control_12_h_batch_9	Control_18_h_batch_10	Control_18_h_batch_11	Control_18_h_batch_9	Control_24_h_batch_10	Control_24_h_batch_11	Control_24_h_batch_9	Ikaros_0_h_batch_10	Ikaros_0_h_batch_11	Ikaros_0_h_batch_9	Ikaros_2_h_batch_10	Ikaros_2_h_batch_11	Ikaros_2_h_batch_9	Ikaros_6_h_batch_10	Ikaros_6_h_batch_11	Ikaros_6_h_batch_9	Ikaros_12_h_batch_10	Ikaros_12_h_batch_11	Ikaros_12_h_batch_9	Ikaros_18_h_batch_10	Ikaros_18_h_batch_11	Ikaros_18_h_batch_9	Ikaros_24_h_batch_10	Ikaros_24_h_batch_11	Ikaros_24_h_batch_9
Lalanine	-3.33388652813475	-3.56667070934653	-3.33456565908712	-3.46554010452094	-3.46353834455538	-3.48063326627241	-3.06501787356623	-3.1549524557289	-3.05876081058096	-2.42226151454192	-2.79969759290152	-2.85272304546553	-3.19185476530085	-3.332006754036	-3.26393579597548	-3.27731049872641	-3.35419048650978	-3.28423720273825	-2.97044655682908	-3.15321176235769	-2.93866190807774	-3.23868040539007	-3.22469857473721	-3.24167347155736	-3.08641912389002	-3.04013694733769	-3.02878382417114	-3.35837298977077	-3.38060031122078	-3.3030116887188	-3.6183588838556	-3.55566704090724	-3.63959837724614	-3.76643384961779	-3.7836750486587	-3.73796163706211
Lvaline	-2.6077917597923	-2.58089826372179	-2.63903194502206	-2.65396276336271	-2.41924586831069	-2.67489509769341	-2.28855323894253	-2.20507238751497	-2.19500728697537	-2.01626720447878	-1.72017252137433	-2.09355003253256	-2.44710290178775	-2.4181615812089	-2.71758064512851	-2.59113739152201	-2.36914094034511	-2.54845704371446	-2.21506802256932	-2.175575287263	-2.37163506534623	-2.22004437858612	-2.49014763144995	-2.50184747872863	-2.37053013806761	-2.32651394587959	-2.34236361003074	-2.34033518233674	-2.34227601397388	-2.20693816605063	-2.62743173959496	-2.42718489706927	-2.68453770121226	-2.91743906409616	-2.71678050088029	-2.64489477610399
Lleucine	-0.738376093665746	-0.721003695818879	-0.736576036638455	-0.754079645837546	-0.552803515842436	-0.761267186503051	-0.355096243865216	-0.296521381983474	-0.318362500244096	-0.159671430156251	0.175272929588973	-0.186511530077926	-0.521280115271901	-0.491809229280391	-0.767851427587571	-0.646926372415025	-0.470819028552229	-0.626706067720112	-0.277207621224406	-0.308699075731754	-0.431707071453456	-0.359091814405203	-0.573906808263107	-0.5783157076947	-0.43116108748488	-0.419078922078562	-0.423368196007186	-0.435096788288754	-0.422160321226556	-0.274661343966942	-0.717820525841716	-0.523803651697259	-0.791461905856449	-1.00170932018208	-0.813476928909408	-0.732209110431637
Lisoleucine	-0.903018737882102	-0.87289334828151	-0.872392107292068	-0.911032887979259	-0.700356683266694	-0.901589995719528	-0.461841078715774	-0.466900016634594	-0.473450086915501	-0.387502514057976	-0.00430001117766826	-0.342909026802589	-0.658842050640469	-0.642018657761488	-0.933213971853849	-0.829034618460607	-0.609456966931408	-0.785262348483057	-0.486051391248207	-0.455799040337088	-0.622298004884402	-0.500219516366642	-0.721322543239955	-0.73184528771788	-0.581506656541733	-0.574986529277818	-0.596580516940819	-0.6155807378162	-0.582298909371368	-0.459318664905443	-0.903703609341396	-0.70358395514391	-0.974298138244748	-1.1488510616987	-0.961353225767747	-0.931930997545707
Lproline	-0.351564272228537	-0.470608383090343	-0.282026791707283	-0.441307774793658	-0.377407875114658	-0.452715776212256	0.05404306086615	-0.0601451650582795	0.057108134178961	0.308685630597628	0.351499887556317	0.212956713429146	-0.122169003194655	-0.228546454742027	-0.357324703994396	-0.242407566971077	-0.240823829006501	-0.2751028682989	0.0661216573711896	-0.00796994896310652	0.0763884068417466	-0.129803383084666	-0.295611560872215	-0.252854777753919	-0.041889059322724	-0.100490640923249	0.00219033213882178	-0.299759738867542	-0.302858660218528	-0.157957837405185	-0.566766396969688	-0.444592006994983	-0.709931353624873	-0.863570634935684	-0.754467968181197	-0.688752501250725
Lserine	-0.5342528962473	-0.589970884773875	-0.294968171981065	-0.646434897816734	-0.510211635194528	-0.629012924572932	-0.255378157475449	-0.168645601299098	-0.23967045741737	1.38423823597486	0.156657991980439	-0.0772327751223402	-0.39805823426661	-0.405574102695233	-0.508502802635522	-0.536207344202465	-0.460790025059541	-0.343047025022212	-0.204374046251922	-0.230705183222446	-0.234027663006206	-0.363913640191014	-0.41449005890909	-0.511934472190981	-0.339019832477023	-0.331086577479804	-0.304147922279504	-0.478346443722872	-0.392572643992403	-0.351624126712953	-0.708325735716822	-0.557490864426792	-0.726087612351129	-0.974327937393242	-0.714194127369172	-0.760640025308249
Lthreonine	-0.0113913876123378	-0.0397306908623444	0.021127601348255	-0.0739853037588963	0.118116891762304	-0.0699723286696588	0.339661354100912	0.372895582421505	0.338364790627136	0.629805199578702	0.835137995296546	0.50190417559364	0.161543127729001	0.191997281642872	0.00294221185360433	0.0380869255585479	0.192054513380407	0.0766879408139838	0.407567099139305	0.402246620458503	0.386810856754666	0.24314228235054	0.149918986458688	0.105711771744577	0.253640684879844	0.318476831936495	0.334610917993635	0.132727438896646	0.192848988103311	0.282376841634587	-0.14492803384536	0.0762044092499732	-0.194035047051774	-0.404146085812855	-0.191130070512348	-0.209337993821457
Lglutamicacid	-2.13307535993341	-2.20208898164629	-1.85988740945022	-2.0296384623861	-2.0100043754073	-2.15428720838997	-1.64866551368138	-1.69272982711832	-1.59443116131235	-1.63568359489285	-1.42380284619187	-1.52704992459443	-1.87411926150035	-1.77772435640072	-1.75964894771859	-1.86146831385339	-1.95915857954309	-1.86168973215613	-1.75083297772951	-1.77695362831914	-1.39377740253967	-1.99198103849783	-1.76992217710179	-1.83851206587703	-1.80989628969562	-1.65345337880979	-1.50470479766383	-2.18964300560206	-1.99216585837964	-2.08961211785337	-2.44859370130907	-2.22080795211804	-2.53217052990195	-2.6288208133881	-2.6267038166776	-2.66103901156341
Lphenylalanine	-0.967135068340244	-0.894162375256896	-0.918940516632722	-0.981328840944818	-0.76169907015939	-0.975185483987298	-0.570315577412406	-0.494897492005526	-0.515943790979142	-0.287116574971316	-0.0575288532997014	-0.426134812374714	-0.746477211595662	-0.722888036870527	-0.952933036237292	-0.884999548644049	-0.693358441867583	-0.819269465799021	-0.507466929537999	-0.509024887437704	-0.658792122477708	-0.577578662269274	-0.826121454860464	-0.801042649008512	-0.664852678160199	-0.645064030857651	-0.66120784646835	-0.661267675453679	-0.624938537058399	-0.568971020906103	-1.00386860623698	-0.73472368576256	-1.02101081482197	-1.21271802802241	-1.04315978430831	-0.982473945583288
Lasparagine	-1.10001710441792	-1.06675204420582	-1.02959479731918	-1.10733104656698	-0.948058279090057	-1.09897942200809	-0.711907403154479	-0.687729316092437	-0.673162342862809	-0.56927948884873	-0.29825751442135	-0.539586352984714	-0.878484391135159	-0.859470825355382	-0.957329297161468	-0.977748214767537	-0.92147128153746	-0.949770299467555	-0.642453828635915	-0.700851336186436	-0.679682108732334	-0.833069656355927	-0.890905437284351	-0.958225072632017	-0.785775038201314	-0.744769851045424	-0.742055467635752	-0.958871946868467	-0.875715650802186	-0.825171478886631	-1.20419125304179	-1.03332212626678	-1.18878079835986	-1.41584780286702	-1.2701027634744	-1.26385581465338
