SAMPLE_RUN,EXP_BATCH,LIBRARY_PREP,HiSeq.RUN,QubitCon,nMQubit,Kappa_Quant,TIME,IKAROS,ERC.spikes
ExpBatch_4_Ctr_0H,4,BATCH_6,3,9.14,49.14,70.49,0,0,0.971
ExpBatch_5_Ctr_0H,5,BATCH_1,1,17.1,91.94,203.88,0,0,0.972
ExpBatch_6_Ctr_0H,6,BATCH_4,1,12.7,68.28,121.57,0,0,0.971
ExpBatch_1_Ctr_2H,1,BATCH_1,2,13.4,72.04,111.51,2,0,0.965
ExpBatch_2_Ctr_2H,2,BATCH_6,1,14.1,75.81,102.39,2,0,0.966
ExpBatch_3_Ctr_2H,3,BATCH_2,1,3.68,19.78,35.7,2,0,0.961
ExpBatch_1_Ctr_6H,1,BATCH_5,1,0.68,3.63,6.16,6,0,0.944
ExpBatch_2_Ctr_6H,2,BATCH_3,1,8.8,47.31,91.3,6,0,0.965
ExpBatch_3_Ctr_6H,3,BATCH_1,2,4.74,25.48,50.1,6,0,0.972
ExpBatch_1_Ctr_12H,1,BATCH_4,2,15.5,83.33,173.07,12,0,0.957
ExpBatch_2_Ctr_12H,2,BATCH_2,1,6.26,33.66,65.83,12,0,0.966
ExpBatch_3_Ctr_12H,3,BATCH_6,2,2.5,13.44,19.72,12,0,0.966
ExpBatch_1_Ctr_18H,1,BATCH_2,1,11,59.14,120.59,18,0,0.969
ExpBatch_2_Ctr_18H,2,BATCH_5,1,21.2,113.98,249.1,18,0,0.973
ExpBatch_3_Ctr_18H,3,BATCH_3,2,1.12,6.02,10.17,18,0,0.939
ExpBatch_1_Ctr_24H,1,BATCH_3,1,5.7,30.65,52.97,24,0,0.963
ExpBatch_2_Ctr_24H,2,BATCH_4,1,8.04,43.23,85.01,24,0,0.968
ExpBatch_3_Ctr_24H,3,BATCH_5,1,0.62,3.34,5.59,24,0,0.908
ExpBatch_4_Ik_0H,4,BATCH_2,2,9.28,49.89,91.74,0,1,0.963
ExpBatch_5_Ik_0H,5,BATCH_5,2,17.5,94.09,221.55,0,1,0.974
ExpBatch_6_Ik_0H,6,BATCH_3,1,14.7,79.03,149.95,0,1,0.96
ExpBatch_1_Ik_2H,1,BATCH_5,1,18.6,100,193.48,2,1,0.972
ExpBatch_2_Ik_2H,2,BATCH_3,2,13,69.89,120.48,2,1,0.956
ExpBatch_3_Ik_2H,3,BATCH_4,1,2,10.75,9.4,2,1,0.961
ExpBatch_1_Ik_6H,1,BATCH_6,2,12.6,67.74,112.3,6,1,0.958
ExpBatch_2_Ik_6H,2,BATCH_4,3,5.98,32.15,59.01,6,1,0.959
ExpBatch_3_Ik_6H,3,BATCH_6,1,0.31,1.66,1.69,6,1,0.957
ExpBatch_1_Ik_12H,1,BATCH_3,0,3.76,20.22,37.54,12,1,0.963
ExpBatch_2_Ik_12H,2,BATCH_1,2,5.8,31.18,47.62,12,1,0.915
ExpBatch_3_Ik_12H,3,BATCH_5,2,0.4,2.13,3.12,12,1,0.925
ExpBatch_1_Ik_18H,1,BATCH_4,1,6.66,35.81,68.24,18,1,0.952
ExpBatch_2_Ik_18H,2,BATCH_6,1,5.5,29.57,48.29,18,1,0.972
ExpBatch_3_Ik_18H,3,BATCH_1,3,9.36,50.32,112.3,18,1,0.967
ExpBatch_1_Ik_24H,1,BATCH_1,1,16.7,89.78,175.13,24,1,0.969
ExpBatch_2_Ik_24H,2,BATCH_2,2,5.16,27.74,56.55,24,1,0.961
ExpBatch_3_Ik_24H,3,BATCH_2,1,9.32,50.11,105.11,24,1,0.961
