Protein.IDs	Majority.protein.IDs	Peptide.counts..all.	Peptide.counts..razor.unique.	Peptide.counts..unique.	Protein.names	Gene.names	con_0h_5	con_0h_7	con_2h_3	con_6h_1	con_6h_4	con_12h_3	con_18h_1	con_18h_4	con_24h_3	IKA_0h_5	IKA_0h_7	IKA_2h_3	IKA_6h_1	IKA_6h_4	IKA_12h_3	IKA_18h_1	IKA_18h_4	IKA_24h_3	con_0h_6	con_2h_1	con_2h_4	con_6h_3	con_12h_1	con_12h_4	con_18h_3	con_24h_1	con_24h_4	IKA_0h_6	IKA_2h_1	IKA_2h_4	IKA_6h_3	IKA_12h_1	IKA_12h_4	IKA_18h_3	IKA_24h_1	IKA_24h_4
Q9CYR6	Q9CYR6	1	1	1	Phosphoacetylglucosamine mutase	Pgm3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61791.77632	0	0	0	0
Q4VBD9	Q4VBD9	1	1	1	GDNF-inducible zinc finger protein 1	Gzf1	0	0	0	0	0	89925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q921G6	Q921G6	1	1	1	Leucine-rich repeat and calponin homology domain-containing protein 4	Lrch4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117441.5094	0	0	0
Q9R099	Q9R099	1	1	1	Transducin beta-like protein 2	Tbl2	0	0	0	0	0	0	0	0	0	47081.08108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P70268	P70268	1	1	1	Serine/threonine-protein kinase N1	Pkn1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234636.5132	0	0	0	0
Q8VC70	Q8VC70	1	1	1	RNA-binding motif, single-stranded-interacting protein 2	Rbms2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287304.2122	0	0	0	0	0	0	0	0	0	0	0	0
Q91XT4	Q91XT4	1	1	1	Protein transport protein Sec16B	Sec16b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187576.4192	0	0	0	0	0	0	0
Q9JJK5	Q9JJK5	1	1	1	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein	Herpud1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330867.9245	0	0	0
Q8K3I9	Q8K3I9	1	1	1	Glucocorticoid-induced transcript 1 protein	Glcci1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278723.869	0	0	0	0	0	0	0	46145.72368	0	0	0	0
A2ARA8	A2ARA8	1	1	1	Integrin alpha-8;Integrin alpha-8 heavy chain;Integrin alpha-8 light chain	Itga8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151627.3538	0
