,Lserine,Lglutamicacid,Lglycine,taurine,Lhomoserine,gammaaminobutyricacid,Ornithine,hydroxyLtryptophan,putrescine,methyldopa,Spermidine,Spermine,succinicacid,fumaricacid,malicacid,alphaketoglutaricacid,phosphoethanolaminemz188,citricacidmz273,glucose6phosphate,adenosine,thymine,cytosine,ribose5phosphate,guanine,cholesterol
con_0h_1,-0.5342528962473,-2.13307535993341,0.507284414396703,-0.597453077760997,-1.58725436797986,-1.75964963955913,-3.54494733410463,-3.25196408578767,-0.705359056452611,0.211365366030298,4.06913780537396,2.04410231136626,-0.397677789923046,0.369297334743799,-1.21665193516291,-0.836708885992928,-0.0300437104117635,-3.67265836654211,-1.76221317679231,1.25543971679782,-2.60559317075569,0.632497527490968,-0.607600165948307,0.984466739841638,3.06205184588612
con_0h_2,-0.589970884773875,-2.20208898164629,0.365818642253067,-0.866834275593521,-2.14090132575637,-1.98147282388953,-3.77966752037244,-3.6878307619849,-0.906953180959251,-0.164530430977779,3.64907775979496,1.40534697463528,-0.425126300682534,-0.428680621684836,-1.38836778381244,-0.913786453507931,0.208097391282849,-3.9206869616341,-2.16347045047602,0.030986661326064,-3.10578347579266,-0.835093313510352,-0.583404324507673,0.321347459894247,3.24738186556992
con_0h_3,-0.294968171981065,-1.85988740945022,0.741385528829862,-0.255641552313401,-1.70260602725199,-1.0866612454389,-2.52855210252228,-4.30487006614229,-0.431645651459618,0.57935756858186,4.49153662298673,2.19404645505218,-0.336930626652181,-0.017601692177051,-0.711003861405264,-0.377548204100541,0.599392335577697,-3.46800077306176,-1.18426855120751,1.31983294370094,-3.59419280235242,-0.486407761042601,-4.0546791812744,-1.98256010335977,4.46481486309395
con_2h_1,-0.646434897816734,-2.0296384623861,0.386194546101218,-0.684206498169053,-1.69154173260831,-1.67585015543197,-3.68026348077291,-4.01769409904485,-0.459360373307927,0.0761512646445573,4.2280617328036,2.22155896108477,-0.588148522959197,-0.210593114521435,-1.11689446303897,-0.524772084148988,-0.149874685422832,-3.8226445386478,-2.3198253575742,0.262509937599252,-3.07396221562731,-0.0935146104760548,-0.344116475440946,0.208957116993786,3.03140817390511
con_2h_2,-0.510211635194528,-2.0100043754073,0.404049002222655,-0.854610760980988,-2.02202763662899,-1.72384995888901,-3.66348776225897,-3.75164092840326,-0.618622267965771,0.122572780741574,4.0470007784138,1.39248758589346,-0.20181175190131,-0.268525129613278,-1.11618340999747,-0.80762908704593,-0.146734364708616,-4.10166623141676,-2.43503887780293,-0.41797481572626,-3.902220812935,-1.97913579424994,-1.79733942784957,-0.811760683556528,3.00967592993037
con_2h_3,-0.629012924572932,-2.15428720838997,0.393796328521661,-0.776251117463497,-2.05561737913505,-1.69322851117518,-3.4463835294832,-3.88197304507313,-0.704982334469888,0.0976695730543309,4.35106896970485,1.96104196313456,-0.724233450823676,-0.206688098545736,-1.28299236941284,-0.604603633572809,-0.465511954315312,-3.89526880046827,-1.74279693151973,0.382250290186707,-2.78818066583485,-0.253778777164265,-0.312679312812612,0.0281648080025913,3.00888076226633
con_6h_1,-0.255378157475449,-1.64866551368138,0.821790635099425,-0.139456417222309,-1.42004699931818,-1.10578800594134,-3.56826659501774,-4.61827610918017,0.151032964304255,0.665029465716862,4.95553659754327,2.55528931616157,-0.0600932617107055,0.267471240947033,-0.7559905514537,-0.142107785179109,0.185515480775314,-3.19985162451826,-1.9582276426813,0.43983804107509,-2.8787697998606,-0.888317640611827,-0.427255390882775,0.158082276681349,3.23191856597681
con_6h_2,-0.168645601299098,-1.69272982711832,0.845076737021303,-0.265097867801036,-1.9121418957183,-1.25128472334698,-2.95313304606396,-3.81979127712052,0.0411061422110021,0.353043878618552,4.15413527377984,1.28854210762973,0.176650164775262,0.0854359852377716,-0.700243016220065,-0.289272551756026,0.39700241066599,-3.79258632229896,-1.9575995964741,-0.02586872008859,-3.12145152238918,-0.793128632355092,-0.694815904658513,-0.313612623529538,3.69586452032957
con_6h_3,-0.23967045741737,-1.59443116131235,0.882793392583382,-0.172145979447874,-1.49286943182984,-1.01322699442058,-3.36922074036879,-3.8178290063312,0.0174355826900393,0.726564074366599,4.61297516092946,2.36107987726098,-0.053501630077141,0.224086603868895,-0.655779388045467,-0.0207232758442736,0.0535996125269226,-3.22713075553164,-1.08827714025253,0.779146013148818,-2.21723712693815,-0.541191081467891,-0.737906394572305,-0.075547340985036,3.53229506139861
con_12h_1,1.38423823597486,-1.63568359489285,1.79222437894736,-0.227175263094158,-1.76215873437394,-1.16328616069922,0.553610978960878,-4.57642865042694,-0.311617695770911,0.456942914369881,4.38028378186257,1.95782990211261,-0.192560355067001,0.0577247708994879,-0.669387320224512,-0.421020848129038,0.0275806329467331,-3.49448284550254,-2.15445736080567,0.392021515102879,-3.0837283885835,-1.7119592672488,-1.14504472046528,-0.132815664431683,2.83247757707975
con_12h_2,0.156657991980439,-1.42380284619187,1.08365169103542,-0.384532368166357,-1.47564683739179,-1.31384608697383,-3.20925628814585,-3.56047131280163,-0.377159714964281,0.240944543518666,4.84680308392057,1.68804522611345,0.537364826454477,0.343736485427894,-0.574593555095136,-1.24673890446137,0.872709117613035,-3.6747011728554,-1.50393282407895,0.0252584576813343,-2.74207174202077,-1.0000643292031,-0.809690388687745,-0.535253542985985,3.98965129149765
con_12h_3,-0.0772327751223402,-1.52704992459443,1.07705729663054,0.0806888765820521,-1.33963765769538,-0.62247589752827,-3.32262515827255,-3.81598995231531,0.157538605484161,0.957962596195336,5.00977378224794,2.74420048947441,0.546394043008896,0.497693042269031,-0.280644313327928,0.130851909322791,0.648736768346263,-3.09288311078105,-1.1673729035928,1.11211962053335,-1.9402394533683,-0.285037403090038,-0.897612971325624,0.0926890396060647,3.79541605785693
con_18h_1,-0.39805823426661,-1.87411926150035,0.718809879199232,-0.297023396729235,-1.74480828437038,-1.36777513335882,-3.599547574764,-4.22253795016929,-0.320631046698772,0.471641049574801,4.35779691547588,2.25603651399455,-0.0475280638251502,0.2292043646442,-0.773652164702263,-0.301112130400145,0.0960071334864427,-3.65608788439013,-1.98698891721931,0.634001362862773,-3.01505698540318,-0.311304573209203,-1.05169054607395,0.453216395048347,3.03974675017449
con_18h_2,-0.405574102695233,-1.77772435640072,0.708886277525616,-0.320667671088011,-2.16991235605649,-1.29962299470501,-3.61623485960112,-4.32686981566164,-0.287405963573584,0.3682487426844,4.33763352843644,1.60685561042641,-0.181876766632279,-0.0071005272428031,-0.687030663602713,-0.727843957543429,0.688337148842527,-3.54347560143119,-1.62573614471341,0.0009030073960566,-2.69322168032462,-0.490621806934937,-0.736431060223609,-0.622246194545284,3.60912706633282
con_18h_3,-0.508502802635522,-1.75964894771859,0.689863537863297,-0.167708621789257,-1.22279538543823,-0.962706166154609,-3.95590457105945,-3.5997372756914,-0.236823521621319,0.77556498564287,4.57663170728727,2.47476767637198,-0.013585464686979,0.236259212026845,-0.489442593151841,0.0340670490567803,0.410710049547927,-3.30886984033941,-1.5243488412813,0.92911372318498,-2.45896170040734,0.282204262063347,0.0791266598191424,0.284557363426356,3.70014799795232
con_24h_1,-0.536207344202465,-1.86146831385339,0.612635295866524,-0.374895597911635,-1.68046022672597,-1.35861318846163,-3.80945989000171,-4.20779632862627,-0.355308631531786,0.597317382574398,4.40903877142175,2.12091672101367,0.088825293088748,0.181482758233364,-0.728494137332929,-0.590533382614056,0.0859112104046175,-3.87285103337831,-2.3376437282634,0.592246972344421,-3.15800444154275,-0.668288896226612,-0.829551986382861,0.516905355709144,3.12707026818159
con_24h_2,-0.460790025059541,-1.95915857954309,0.567443501713282,-0.686511364893952,-2.07794659877257,-1.55872491856585,-3.70897218881727,-3.90484762624691,-0.663030744915921,0.18289218669941,4.20737345562924,0.939612041680959,-0.21416070813317,-0.163519368854557,-0.916104117509042,-0.952978412409972,-0.193867405403427,-3.93803047000227,-2.52708462008395,-0.592303173346682,-4.04902740623832,-1.88354099002549,-1.47140807925046,-0.864170313925953,2.70156727765251
con_24h_3,-0.343047025022212,-1.86168973215613,0.65945779820078,-0.444566529100708,-1.85852069604657,-1.25094959258228,-2.17017305392354,-3.77673907334116,-0.382711353757863,0.548515546154605,4.40948231601317,2.16159367607232,-0.35641376629621,0.0133506938140971,-0.772266407310479,-0.300256121442469,-0.151463912331572,-3.61891325011198,-1.82865834687171,0.161353467529385,-2.74575536848377,-1.00437239779822,-0.932447450583044,-0.325897703007527,3.20064944619065
ika_0h_1,-0.204374046251922,-1.75083297772951,0.961551410525872,-0.0424427705423605,-1.37678798147158,-1.36080123490177,-3.55473658353147,-3.52016379285659,-0.135818567637881,1.44850951445472,4.31033890766493,2.39100153745538,-0.114904715740676,0.234024151459381,-1.00570135627289,-0.297806724868373,0.0926517539749362,-3.15397766904996,-1.77015718395,0.763927665028247,-2.63057421720167,-1.17543280664237,-0.250754907691509,0.522412393497147,3.21983749905786
