ENS_MOUSE	GC	LENGTH
ENSMUSG00000095309	42.75	923
ENSMUSG00000000126	52.53	6630
ENSMUSG00000086196	42.02	3496
ENSMUSG00000054418	46.42	1782
ENSMUSG00000095268	38.83	1959
ENSMUSG00000082399	57.08	479
ENSMUSG00000097090	50	1648
ENSMUSG00000020063	44.08	17092
ENSMUSG00000029623	50.36	4478
ENSMUSG00000073944	39.15	1123
ENSMUSG00000097523	49.23	707
ENSMUSG00000085419	50.69	723
ENSMUSG00000083879	43.95	2375
ENSMUSG00000080198	53.41	630
ENSMUSG00000001555	52.02	6457
ENSMUSG00000094221	42.53	923
ENSMUSG00000032855	50.74	14124
ENSMUSG00000044292	50.21	935
ENSMUSG00000097518	52.34	1900
ENSMUSG00000081243	51.76	312
ENSMUSG00000095264	45.57	710
ENSMUSG00000082330	50.65	994
ENSMUSG00000085336	50.97	1737
ENSMUSG00000097732	46.47	2092
ENSMUSG00000073945	42.11	956
ENSMUSG00000086603	64.78	509
ENSMUSG00000087585	40.46	647
ENSMUSG00000094385	42.75	923
ENSMUSG00000030245	45.86	3177
ENSMUSG00000083705	46.62	1098
ENSMUSG00000096540	38.95	1950
ENSMUSG00000087181	55.34	308
ENSMUSG00000047352	41.09	2812
ENSMUSG00000078954	50.12	6910
ENSMUSG00000086588	53.06	710
ENSMUSG00000094001	41.72	917
ENSMUSG00000073946	43.57	956
ENSMUSG00000085975	34.83	557
ENSMUSG00000097006	54	6658
ENSMUSG00000086050	50.11	2967
ENSMUSG00000085718	47.67	1153
ENSMUSG00000081236	41.88	393
ENSMUSG00000094115	44.57	524
ENSMUSG00000015468	54.02	18479
ENSMUSG00000084052	52.46	447
ENSMUSG00000081157	55.16	416
ENSMUSG00000078984	44.05	196
ENSMUSG00000021273	46.56	2852
ENSMUSG00000017670	52.48	20001
ENSMUSG00000087057	52.97	1172
ENSMUSG00000094680	41.48	944
ENSMUSG00000097517	57.28	1249
ENSMUSG00000047544	42.77	953
ENSMUSG00000080982	49.75	795
ENSMUSG00000094727	38.97	1949
ENSMUSG00000025816	40.98	6902
ENSMUSG00000085707	53.77	376
ENSMUSG00000096975	38.62	1420
ENSMUSG00000002129	46.56	7798
ENSMUSG00000083276	50	429
ENSMUSG00000043331	49.41	932
ENSMUSG00000082263	50	387
ENSMUSG00000047714	39.35	5025
ENSMUSG00000097781	44.28	2475
ENSMUSG00000087455	48.21	2092
ENSMUSG00000093986	41.83	917
ENSMUSG00000058073	43.47	374
ENSMUSG00000097759	38.79	2729
ENSMUSG00000073947	44.59	941
ENSMUSG00000056296	39.97	12642
ENSMUSG00000084250	45.71	524
ENSMUSG00000094211	35.82	370
ENSMUSG00000097379	39.43	2364
ENSMUSG00000082989	47.53	380
ENSMUSG00000074754	43.72	469
ENSMUSG00000094010	42.64	923
ENSMUSG00000097566	53.37	3952
ENSMUSG00000094361	40.35	1496
ENSMUSG00000061024	54.27	2046
ENSMUSG00000082800	40.43	328
ENSMUSG00000078624	35.86	5136
ENSMUSG00000051493	42.78	1079
ENSMUSG00000097624	48.48	1174
ENSMUSG00000071104	44.84	3015
ENSMUSG00000094589	43	920
ENSMUSG00000097350	43.77	3140
ENSMUSG00000094119	45.47	971
ENSMUSG00000095833	38.83	1920
ENSMUSG00000067855	44.18	1187
ENSMUSG00000097049	42.85	1030
ENSMUSG00000001119	54.16	4978
ENSMUSG00000095390	43.18	923
ENSMUSG00000096737	42.97	923
ENSMUSG00000009900	49.97	2757
ENSMUSG00000097796	43.82	2381
ENSMUSG00000056718	47.02	1359
ENSMUSG00000049606	40.08	32221
ENSMUSG00000096584	45.47	971
ENSMUSG00000041710	39.64	6923
ENSMUSG00000097103	44.19	1440
ENSMUSG00000020747	52.72	12871
ENSMUSG00000051729	40.19	3679
ENSMUSG00000095973	42.86	923
ENSMUSG00000025579	55.42	11649
ENSMUSG00000097723	47.35	2465
ENSMUSG00000094449	40.63	944
ENSMUSG00000045584	46.1	947
ENSMUSG00000097460	39.49	1592
ENSMUSG00000087668	52.5	1175
ENSMUSG00000085871	41.47	606
ENSMUSG00000032413	40.01	11710
ENSMUSG00000097879	41.23	3521
ENSMUSG00000021939	48.17	4729
ENSMUSG00000083442	50	445
ENSMUSG00000041134	40.22	10049
ENSMUSG00000046396	50.47	964
ENSMUSG00000091435	41.89	887
ENSMUSG00000028738	51.88	5558
ENSMUSG00000043461	41.92	1782
ENSMUSG00000039982	47.25	5756
ENSMUSG00000097514	45.42	1447
ENSMUSG00000093934	43.18	923
ENSMUSG00000031636	42.12	1571
ENSMUSG00000031864	42.99	19779
ENSMUSG00000096907	36.52	631
ENSMUSG00000073948	44.79	950
ENSMUSG00000097065	45.4	1910
ENSMUSG00000094085	41.51	965
ENSMUSG00000027364	42.6	5983
ENSMUSG00000080967	44.7	697
ENSMUSG00000034832	48.36	13412
ENSMUSG00000042402	45.9	914
ENSMUSG00000096972	46.88	9986
ENSMUSG00000086385	41.36	657
ENSMUSG00000083129	50.98	152
ENSMUSG00000095774	40.38	935
ENSMUSG00000091638	43.18	1815
ENSMUSG00000094601	45.71	710
ENSMUSG00000085142	43.62	610
ENSMUSG00000046805	45.67	4333
ENSMUSG00000081297	50.67	595
ENSMUSG00000097722	52.6	1785
ENSMUSG00000073949	44.58	959
ENSMUSG00000086592	43.41	1076
ENSMUSG00000097818	52.22	1435
ENSMUSG00000094309	38.98	1954
ENSMUSG00000024151	45.08	9048
ENSMUSG00000025909	38.02	23339
ENSMUSG00000048285	44.67	4646
ENSMUSG00000058079	49.36	1010
ENSMUSG00000097458	44.43	1756
ENSMUSG00000006931	54.87	2476
ENSMUSG00000094254	40.17	935
ENSMUSG00000097799	41.05	3326
ENSMUSG00000040065	43.7	3916
ENSMUSG00000094284	42.51	893
ENSMUSG00000051427	50.13	15738
ENSMUSG00000097317	47.67	3587
ENSMUSG00000058976	45.91	4096
ENSMUSG00000024027	50.69	1467
ENSMUSG00000072066	39.57	316
ENSMUSG00000097868	41.09	885
ENSMUSG00000095190	48.79	905
ENSMUSG00000058762	47.31	1611
ENSMUSG00000095903	39.92	1026
ENSMUSG00000097843	50.27	2655
ENSMUSG00000050815	45.04	1087
ENSMUSG00000028329	45.28	4635
ENSMUSG00000083780	41.13	956
ENSMUSG00000074865	36.22	2405
ENSMUSG00000028737	52.86	8105
ENSMUSG00000097377	42.06	2318
ENSMUSG00000095768	42.78	920
ENSMUSG00000046650	43.99	947
ENSMUSG00000097235	43.49	1008
ENSMUSG00000040963	48.18	3688
ENSMUSG00000021342	35.63	1757
ENSMUSG00000055820	43.73	932
ENSMUSG00000097837	48.31	4310
ENSMUSG00000080819	36.96	535
ENSMUSG00000095275	42.97	923
ENSMUSG00000096436	42.49	938
ENSMUSG00000059874	43.88	938
ENSMUSG00000037816	47.88	12348
ENSMUSG00000097857	44.31	2859
ENSMUSG00000055228	40.65	1058
ENSMUSG00000045160	51.66	6785
ENSMUSG00000083060	37.63	92
ENSMUSG00000061200	50.91	989
ENSMUSG00000067513	41.14	947
ENSMUSG00000097052	49.8	3100
ENSMUSG00000094353	43.66	938
ENSMUSG00000094942	36.24	1674
ENSMUSG00000079657	53.66	5984
ENSMUSG00000025453	41.15	10847
ENSMUSG00000045540	43.46	947
ENSMUSG00000095640	38.23	1074
ENSMUSG00000095837	42.67	920
ENSMUSG00000054763	46.73	3608
ENSMUSG00000045835	52.41	1993
ENSMUSG00000097872	62.54	4568
ENSMUSG00000074656	38.63	13754
ENSMUSG00000073950	45.43	1049
ENSMUSG00000034416	49.34	10502
ENSMUSG00000074867	41.01	2567
ENSMUSG00000097345	43.81	1694
ENSMUSG00000036106	54.16	3532
ENSMUSG00000096761	43.29	923
ENSMUSG00000095839	44.41	938
ENSMUSG00000097774	43.25	1966
ENSMUSG00000036661	49.76	15842
ENSMUSG00000073951	44.17	959
ENSMUSG00000048076	45.84	3781
ENSMUSG00000025817	42.79	9175
ENSMUSG00000097770	44.77	1869
ENSMUSG00000096903	42.86	923
ENSMUSG00000099269	46.44	421
ENSMUSG00000080985	52.49	862
ENSMUSG00000019861	40.17	4473
ENSMUSG00000073952	43.12	1906
ENSMUSG00000074870	37.58	1433
ENSMUSG00000075571	43.51	2510
ENSMUSG00000062121	46.41	1029
ENSMUSG00000098049	41.34	1850
ENSMUSG00000045394	46.36	2030
ENSMUSG00000096663	42.27	917
ENSMUSG00000096194	38.84	1948
ENSMUSG00000043131	41.91	12363
ENSMUSG00000060049	42.45	1078
ENSMUSG00000073953	43.77	938
ENSMUSG00000055745	57.3	4425
ENSMUSG00000078747	58.6	4202
ENSMUSG00000094762	41.51	965
ENSMUSG00000093857	40.08	1496
ENSMUSG00000098598	52.58	901
ENSMUSG00000064110	46.15	935
ENSMUSG00000003581	54.46	3732
ENSMUSG00000067519	41.43	938
ENSMUSG00000086129	43.16	551
ENSMUSG00000086959	41.73	962
ENSMUSG00000074871	38.53	1196
ENSMUSG00000080951	57.06	162
ENSMUSG00000094545	43.51	923
ENSMUSG00000057321	49.08	1985
ENSMUSG00000075572	44.11	406
ENSMUSG00000082408	54.77	481
ENSMUSG00000099100	36.27	3061
ENSMUSG00000094133	42.49	938
ENSMUSG00000095770	46.14	777
ENSMUSG00000086395	54.1	2982
ENSMUSG00000091096	53.85	67
ENSMUSG00000086096	51.42	699
ENSMUSG00000059106	46.26	948
ENSMUSG00000096386	42.75	923
ENSMUSG00000086995	40.08	2936
ENSMUSG00000075573	44.79	238
ENSMUSG00000083698	47.88	705
ENSMUSG00000067522	48.19	1047
ENSMUSG00000073954	44.25	1086
ENSMUSG00000086650	41.87	622
ENSMUSG00000087332	46.07	352
ENSMUSG00000058435	48.74	1752
ENSMUSG00000086862	40.06	1384
ENSMUSG00000095806	42.05	917
ENSMUSG00000067524	47.41	944
ENSMUSG00000042050	41.82	3703
ENSMUSG00000075574	40.79	443
ENSMUSG00000095300	46.61	3148
ENSMUSG00000083689	50.98	609
ENSMUSG00000073955	45.63	983
ENSMUSG00000053472	51.66	512
ENSMUSG00000048978	43.79	5141
ENSMUSG00000098034	39	957
ENSMUSG00000094439	52.16	4372
ENSMUSG00000067525	47.33	937
ENSMUSG00000059867	46.02	1066
ENSMUSG00000095745	42.75	923
ENSMUSG00000082940	41.8	365
ENSMUSG00000086859	53.05	3200
ENSMUSG00000091539	38.87	920
ENSMUSG00000073956	38.96	2076
